"FirstName","LastName","Position","Team"
"Kyle","Lowry","PG","PHI"
"Jrue","Holiday","PG","BOS"
"Stephen","Curry","PG","GS"
"Marcus","Smart","PG","MEM"
"Kyrie","Irving","PG","DAL"
"Dennis","Schröder","PG","GS"
"Damian","Lillard","PG","MIL"
"CJ","McCollum","PG","NO"
"Mike","Conley","PG","MIN"
"Cory","Joseph","PG","ORL"
"Patty","Mills","PG","UTA"
"Chris","Paul","PG","SA"
"Spencer","Dinwiddie","PG","DAL"
"Dante","Exum","PG","DAL"
"Russell","Westbrook","PG","DEN"
"Reggie","Jackson","PG","PHI"
"Terry","Rozier","PG","MIA"
"Delon","Wright","PG","MIL"
"Tyus","Jones","PG","PHO"
"Cameron","Payne","PG","NY"
"D'Angelo","Russell","PG","BKN"
"T.J.","McConnell","PG","IND"
"Ben","Simmons","PG","BKN"
"Jamal","Murray","PG","DEN"
"Kris","Dunn","PG","LAC"
"Gary","Payton II","PG","GS"
"Fred","VanVleet","PG","HOU"
"Lonzo","Ball","PG","CHI"
"De'Aaron","Fox","PG","SAC"
"Monte","Morris","PG","PHO"
"Luka","Doncic","PG","DAL"
"Trae","Young","PG","ATL"
"Collin","Sexton","PG","UTA"
"Shai","Gilgeous-Alexander","PG","OKC"
"Aaron","Holiday","PG","HOU"
"Jalen","Brunson","PG","NY"
"Shake","Milton","PG","LAL"
"Jordan","McLaughlin","PG","SAC"
"Gabe","Vincent","PG","LAL"
"Ja","Morant","PG","MEM"
"Darius","Garland","PG","CLE"
"Kevin","Porter Jr.","PG","LAC"
"Jordan","Poole","PG","WAS"
"Ty","Jerome","PG","CLE"
"Terance","Mann","PG","LAC"
"DaQuan","Jeffries","PG","CHA"
"LaMelo","Ball","PG","CHA"
"Tyrese","Haliburton","PG","IND"
"Cole","Anthony","PG","ORL"
"Tyrese","Maxey","PG","PHI"
"Immanuel","Quickley","PG","TOR"
"Payton","Pritchard","PG","BOS"
"Tre","Jones","PG","SA"
"Vasilije","Micic","PG","CHA"
"Davion","Mitchell","PG","TOR"
"Cade","Cunningham","PG","DET"
"Ayo","Dosunmu","PG","CHI"
"Tre","Mann","PG","CHA"
"Miles","McBride","PG","NY"
"Bones","Hyland","PG","LAC"
"Dalano","Banton","PG","POR"
"Jose","Alvarado","PG","NO"
"Mac","McClung","PG","ORL"
"Dru","Smith","PG","MIA"
"Jeff","Dowtin Jr.","PG","PHI"
"Brandon","Williams","PG","DAL"
"Dyson","Daniels","PG","ATL"
"TyTy","Washington Jr.","PG","PHO"
"JD","Davison","PG","BOS"
"Andrew","Nembhard","PG","IND"
"Scotty","Pippen Jr.","PG","MEM"
"Collin","Gillespie","PG","PHO"
"Scoot","Henderson","PG","POR"
"Anthony","Black","PG","ORL"
"Cason","Wallace","PG","OKC"
"Nick","Smith Jr.","PG","CHA"
"Jalen","Hood-Schifino","PG","LAL"
"Kobe","Bufkin","PG","ATL"
"Marcus","Sasser","PG","DET"
"Jaylen","Clark","PG","MIN"
"Isaiah","Wong","PG","CHA"
"Jazian","Gortman","PG","DAL"
"Craig","Porter Jr.","PG","CLE"
"Reed","Sheppard","PG","HOU"
"Rob","Dillingham","PG","MIN"
"Devin","Carter","PG","SAC"
"Jared","McCain","PG","PHI"
"Isaiah","Collier","PG","UTA"
"Bub","Carrington","PG","WAS"
"Tyler","Kolek","PG","NY"
"Bronny","James Jr.","PG","LAL"
"Nikola","Topic","PG","OKC"
"Ajay","Mitchell","PG","OKC"
"KJ","Simpson","PG","CHA"
"Jamal","Shead","PG","TOR"
"Tristen","Newton","PG","MIN"
"Reece","Beekman","PG","BKN"
"Daniss","Jenkins","PG","DET"
"Zyon","Pullin","PG","MEM"
"Isaiah","Stevens","PG","MIA"
"Elijah","Harkless","PG","UTA"
"Yuki","Kawamura","PG","MEM"
